panelist_id,market,panel_type,composite_risk_score,recent_noncompliance_rate,baseline_noncompliance_rate,recent_missing_days,compliance_z_score,event_risk_sum
84,Monterrey,Audio,0.0,0.0,0.152,0.0,-1.64,0.0
248,Monterrey,TAM,0.0,0.067,0.043,0.0,0.44,0.0
249,CDMX,Audio,0.0,0.0,0.0,0.0,0.0,0.0
250,CDMX,TAM,0.0,0.133,0.065,0.0,1.07,0.0
251,Puebla,TAM,0.0,0.067,0.043,0.0,0.44,0.0
323,Tijuana,TAM,0.0,0.067,0.022,0.0,1.19,0.0
141,Monterrey,TAM,0.0,0.133,0.13,0.0,0.03,0.0
142,Monterrey,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
322,Tijuana,Audio,0.0,0.2,0.109,0.0,1.14,0.0
236,Monterrey,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
238,Monterrey,TAM,0.0,0.0,0.13,0.0,-1.5,0.0
242,CDMX,Audio,0.0,0.2,0.196,0.0,0.04,0.0
240,CDMX,Audio,0.0,0.067,0.065,0.0,0.02,0.0
244,Tijuana,Audio,0.0,0.0,0.022,0.0,-0.58,0.0
247,Guadalajara,TAM,0.0,0.2,0.152,0.0,0.52,0.0
227,CDMX,TAM,0.0,0.067,0.022,0.0,1.19,0.0
243,Monterrey,TAM,0.0,0.0,0.0,0.0,0.0,0.0
228,Guadalajara,TAM,0.0,0.0,0.0,0.0,0.0,0.0
229,CDMX,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
230,Guadalajara,Audio,0.0,0.2,0.174,0.0,0.27,0.0
231,CDMX,TAM,0.0,0.067,0.043,0.0,0.44,0.0
255,CDMX,Audio,0.0,0.067,0.065,0.0,0.02,0.0
256,Tijuana,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
257,Monterrey,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
143,CDMX,TAM,0.0,0.133,0.109,0.0,0.31,0.0
73,Tijuana,Audio,0.0,0.067,0.087,0.0,-0.28,0.0
74,CDMX,TAM,0.0,0.133,0.109,0.0,0.31,0.0
75,Tijuana,TAM,0.0,0.067,0.065,0.0,0.02,0.0
378,Tijuana,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
379,Guadalajara,TAM,0.0,0.2,0.196,0.0,0.04,0.0
381,CDMX,Audio,0.0,0.133,0.065,0.0,1.07,0.0
382,Guadalajara,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
363,CDMX,TAM,0.0,0.067,0.065,0.0,0.02,0.0
365,Guadalajara,TAM,0.0,0.133,0.196,0.0,-0.61,0.0
369,Guadalajara,TAM,0.0,0.0,0.0,0.0,0.0,0.0
371,Tijuana,Audio,0.0,0.0,0.022,0.0,-0.58,0.0
351,Monterrey,Audio,0.0,0.0,0.022,0.0,-0.58,0.0
352,CDMX,TAM,0.0,0.133,0.065,0.0,1.07,0.0
353,Guadalajara,Audio,0.0,0.067,0.065,0.0,0.02,0.0
354,CDMX,TAM,0.0,0.0,0.0,0.0,0.0,0.0
357,CDMX,TAM,0.0,0.133,0.196,0.0,-0.61,0.0
360,Guadalajara,Audio,0.0,0.067,0.109,0.0,-0.52,0.0
338,CDMX,TAM,0.0,0.333,0.196,0.0,1.34,0.0
339,Guadalajara,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
481,Puebla,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
207,Monterrey,TAM,0.0,0.0,0.13,0.0,-1.5,0.0
210,Guadalajara,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
211,Guadalajara,TAM,0.0,0.067,0.152,0.0,-0.92,0.0
213,CDMX,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
214,Tijuana,TAM,0.0,0.133,0.109,0.0,0.31,0.0
163,CDMX,TAM,0.0,0.267,0.152,0.0,1.23,0.0
164,Guadalajara,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
201,Monterrey,Audio,0.0,0.133,0.109,0.0,0.31,0.0
216,Monterrey,Audio,0.0,0.133,0.087,0.0,0.64,0.0
217,CDMX,Audio,0.0,0.133,0.13,0.0,0.03,0.0
219,Guadalajara,TAM,0.0,0.067,0.174,0.0,-1.1,0.0
220,CDMX,Audio,0.0,0.067,0.022,0.0,1.19,0.0
145,CDMX,Audio,0.0,0.2,0.109,0.0,1.14,0.0
144,Guadalajara,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
206,Tijuana,Audio,0.0,0.067,0.152,0.0,-0.92,0.0
204,CDMX,Audio,0.0,0.067,0.065,0.0,0.02,0.0
195,Tijuana,TAM,0.0,0.2,0.109,0.0,1.14,0.0
148,CDMX,TAM,0.0,0.0,0.152,0.0,-1.64,0.0
158,Guadalajara,TAM,0.0,0.133,0.109,0.0,0.31,0.0
156,Tijuana,TAM,0.0,0.067,0.022,0.0,1.19,0.0
418,Tijuana,TAM,0.0,0.0,0.0,0.0,0.0,0.0
421,Puebla,TAM,0.0,0.067,0.109,0.0,-0.52,0.0
422,CDMX,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
42,Monterrey,TAM,0.0,0.0,0.13,0.0,-1.5,0.0
405,Monterrey,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
349,Monterrey,TAM,0.0,0.067,0.043,0.0,0.44,0.0
350,Tijuana,Audio,0.0,0.0,0.109,0.0,-1.35,0.0
162,Guadalajara,TAM,0.0,0.067,0.065,0.0,0.02,0.0
409,Guadalajara,TAM,0.0,0.133,0.13,0.0,0.03,0.0
410,Tijuana,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
414,Guadalajara,TAM,0.0,0.0,0.174,0.0,-1.78,0.0
412,CDMX,TAM,0.0,0.2,0.152,0.0,0.52,0.0
400,CDMX,TAM,0.0,0.133,0.087,0.0,0.64,0.0
402,Monterrey,Audio,0.0,0.067,0.087,0.0,-0.28,0.0
383,Puebla,Audio,0.0,0.067,0.109,0.0,-0.52,0.0
395,CDMX,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
385,Guadalajara,TAM,0.0,0.0,0.109,0.0,-1.35,0.0
386,CDMX,TAM,0.0,0.267,0.239,0.0,0.25,0.0
48,Puebla,TAM,0.0,0.0,0.109,0.0,-1.35,0.0
390,Monterrey,TAM,0.0,0.0,0.109,0.0,-1.35,0.0
51,Tijuana,TAM,0.0,0.067,0.152,0.0,-0.92,0.0
406,Monterrey,Audio,0.0,0.133,0.109,0.0,0.31,0.0
407,CDMX,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
417,Guadalajara,TAM,0.0,0.133,0.13,0.0,0.03,0.0
191,Tijuana,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
189,Guadalajara,TAM,0.0,0.067,0.022,0.0,1.19,0.0
52,Guadalajara,Audio,0.0,0.0,0.065,0.0,-1.02,0.0
171,CDMX,TAM,0.0,0.067,0.043,0.0,0.44,0.0
182,Guadalajara,Audio,0.0,0.133,0.174,0.0,-0.41,0.0
482,CDMX,TAM,0.0,0.067,0.109,0.0,-0.52,0.0
483,Monterrey,Audio,0.0,0.0,0.065,0.0,-1.02,0.0
172,Guadalajara,Audio,0.0,0.133,0.174,0.0,-0.41,0.0
485,CDMX,TAM,0.0,0.067,0.13,0.0,-0.73,0.0
6,Guadalajara,TAM,0.0,0.2,0.109,0.0,1.14,0.0
475,Tijuana,TAM,0.0,0.0,0.022,0.0,-0.58,0.0
170,Tijuana,TAM,0.0,0.067,0.043,0.0,0.44,0.0
476,Guadalajara,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
494,Tijuana,TAM,0.0,0.067,0.174,0.0,-1.1,0.0
495,Monterrey,Audio,0.0,0.133,0.217,0.0,-0.79,0.0
498,Monterrey,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
13,CDMX,TAM,0.0,0.067,0.13,0.0,-0.73,0.0
453,Tijuana,TAM,0.0,0.133,0.065,0.0,1.07,0.0
487,Monterrey,Audio,0.0,0.067,0.109,0.0,-0.52,0.0
4,CDMX,TAM,0.0,0.067,0.022,0.0,1.19,0.0
489,Guadalajara,TAM,0.0,0.067,0.065,0.0,0.02,0.0
445,Guadalajara,TAM,0.0,0.0,0.065,0.0,-1.02,0.0
446,Monterrey,TAM,0.0,0.0,0.087,0.0,-1.2,0.0
448,Guadalajara,TAM,0.0,0.133,0.152,0.0,-0.2,0.0
451,Tijuana,TAM,0.0,0.0,0.043,0.0,-0.83,0.0
436,CDMX,TAM,0.0,0.133,0.087,0.0,0.64,0.0
437,CDMX,Audio,0.0,0.133,0.13,0.0,0.03,0.0
438,Guadalajara,TAM,0.0,0.067,0.065,0.0,0.02,0.0
439,CDMX,Audio,0.0,0.0,0.043,0.0,-0.83,0.0
9,Guadalajara,Audio,0.0,0.067,0.196,0.0,-1.26,0.0
8,CDMX,Audio,0.0,0.067,0.217,0.0,-1.42,0.0
7,Guadalajara,TAM,0.0,0.067,0.087,0.0,-0.28,0.0
